기준일ID,시간대구분,자치구코드
20210121,19,11200
20210121,19,11215
20210121,19,11230
20210121,19,11260
20210121,19,11290
20210121,19,11305
20210121,19,11320
20210121,19,11350
20210121,19,11380
20210121,19,11410
20210121,19,11440
20210121,19,11470
20210121,19,11500
20210121,19,11530
20210121,19,11545
20210121,19,11560
20210121,19,11590
20210121,19,11620
20210121,19,11650
20210121,19,11680
20210121,19,11710
20210121,19,11740
20210121,20,11110
20210121,20,11140
20210121,20,11170
20210121,20,11200
20210121,20,11215
20210121,20,11230
20210121,20,11260
20210121,20,11290
20210121,20,11305
20210121,20,11320
20210121,20,11350
20210121,20,11380
20210121,20,11410
20210121,20,11440
20210121,20,11470
20210121,20,11500
20210121,20,11530
20210121,20,11545
20210121,20,11560
20210121,20,11590
20210121,20,11620
20210121,20,11650
20210121,20,11680
20210121,20,11710
20210121,20,11740
20210121,21,11110
20210121,21,11140
20210121,21,11170
20210121,21,11200
20210121,21,11215
20210121,21,11230
20210121,21,11260
20210121,21,11290
20210121,21,11305
20210121,21,11320
20210121,21,11350
20210121,21,11380
20210121,21,11410
20210121,21,11440
20210121,21,11470
20210121,21,11500
20210121,21,11530
20210121,21,11545
20210121,21,11560
20210121,21,11590
20210121,21,11620
20210121,21,11650
20210121,21,11680
20210121,21,11710
20210121,21,11740
20210121,22,11110
20210121,22,11140
20210121,22,11170
20210121,22,11200
20210121,22,11215
20210121,22,11230
20210121,22,11260
20210121,22,11290
20210121,22,11305
20210121,22,11320
20210121,22,11350
20210121,22,11380
20210121,22,11410
20210121,22,11440
20210121,22,11470
20210121,22,11500
20210121,22,11530
20210121,22,11545
20210121,22,11560
20210121,22,11590
20210121,22,11620
20210121,22,11650
20210121,22,11680
20210121,22,11710
20210121,22,11740
20210121,23,11110
20210121,23,11140
20210121,23,11170
20210121,23,11200
20210121,23,11215
20210121,23,11230
20210121,23,11260
20210121,23,11290
20210121,23,11305
20210121,23,11320
20210121,23,11350
20210121,23,11380
20210121,23,11410
20210121,23,11440
20210121,23,11470
20210121,23,11500
20210121,23,11530
20210121,23,11545
20210121,23,11560
20210121,23,11590
20210121,23,11620
20210121,23,11650
20210121,23,11680
20210121,23,11710
20210121,23,11740
20210122,0,11110
20210122,0,11140
20210122,0,11170
20210122,0,11200
20210122,0,11215
20210122,0,11230
20210122,0,11260
20210122,0,11290
20210122,0,11305
20210122,0,11320
20210122,0,11350
20210122,0,11380
20210122,0,11410
20210122,0,11440
20210122,0,11470
20210122,0,11500
20210122,0,11530
20210122,0,11545
20210122,0,11560
20210122,0,11590
20210122,0,11620
20210122,0,11650
20210122,0,11680
20210122,0,11710
20210122,0,11740
20210122,1,11110
20210122,1,11140
20210122,1,11170
20210122,1,11200
20210122,1,11215
20210122,1,11230
20210122,1,11260
20210122,1,11290
20210122,1,11305
20210122,1,11320
20210122,1,11350
20210122,1,11380
20210122,1,11410
20210122,1,11440
20210122,1,11470
20210122,1,11500
20210122,1,11530
20210122,1,11545
20210122,1,11560
20210122,1,11590
20210122,1,11620
20210122,1,11650
20210122,1,11680
20210122,1,11710
20210122,1,11740
20210122,2,11110
20210122,2,11140
20210122,2,11170
20210122,2,11200
20210122,2,11215
20210122,2,11230
20210122,2,11260
20210122,2,11290
20210122,2,11305
20210122,2,11320
20210122,2,11350
20210122,2,11380
20210122,2,11410
20210122,2,11440
20210122,2,11470
20210122,2,11500
20210122,2,11530
20210122,2,11545
20210122,2,11560
20210122,2,11590
20210122,2,11620
20210122,2,11650
20210122,2,11680
20210122,2,11710
20210122,2,11740
20210122,3,11110
20210122,3,11140
20210122,3,11170
20210122,3,11200
20210122,3,11215
20210122,3,11230
20210122,3,11260
20210122,3,11290
20210122,3,11305
20210122,3,11320
20210122,3,11350
20210122,3,11380
20210122,3,11410
20210122,3,11440
20210122,3,11470
20210122,3,11500
20210122,3,11530
20210122,3,11545
20210122,3,11560
20210122,3,11590
20210122,3,11620
20210122,3,11650
20210122,3,11680
20210122,3,11710
20210122,3,11740
20210122,4,11110
20210122,4,11140
20210122,4,11170
20210122,4,11200
20210122,4,11215
20210122,4,11230
20210122,4,11260
20210122,4,11290
20210122,4,11305
20210122,4,11320
20210122,4,11350
20210122,4,11380
20210122,4,11410
20210122,4,11440
20210122,4,11470
20210122,4,11500
20210122,4,11530
20210122,4,11545
20210122,4,11560
20210122,4,11590
20210122,4,11620
20210122,4,11650
20210122,4,11680
20210122,4,11710
20210122,4,11740
20210122,5,11110
20210122,5,11140
20210122,5,11170
20210122,5,11200
20210122,5,11215
20210122,5,11230
20210122,5,11260
20210122,5,11290
20210122,5,11305
20210122,5,11320
20210122,5,11350
20210122,5,11380
20210122,5,11410
20210122,5,11440
20210122,5,11470
20210122,5,11500
20210122,5,11530
20210122,5,11545
20210122,5,11560
20210122,5,11590
20210122,5,11620
20210122,5,11650
20210122,5,11680
20210122,5,11710
20210122,5,11740
20210122,6,11110
20210122,6,11140
20210122,6,11170
20210122,6,11200
20210122,6,11215
20210122,6,11230
20210122,6,11260
20210122,6,11290
20210122,6,11305
20210122,6,11320
20210122,6,11350
20210122,6,11380
20210122,6,11410
20210122,6,11440
20210122,6,11470
20210122,6,11500
20210122,6,11530
20210122,6,11545
20210122,6,11560
20210122,6,11590
20210122,6,11620
20210122,6,11650
20210122,6,11680
20210122,6,11710
20210122,6,11740
20210122,7,11110
20210122,7,11140
20210122,7,11170
20210122,7,11200
20210122,7,11215
20210122,7,11230
20210122,7,11260
20210122,7,11290
20210122,7,11305
20210122,7,11320
20210122,7,11350
20210122,7,11380
20210122,7,11410
20210122,7,11440
20210122,7,11470
20210122,7,11500
20210122,7,11530
20210122,7,11545
20210122,7,11560
20210122,7,11590
20210122,7,11620
20210122,7,11650
20210122,7,11680
20210122,7,11710
20210122,7,11740
20210122,8,11110
20210122,8,11140
20210122,8,11170
20210122,8,11200
20210122,8,11215
20210122,8,11230
20210122,8,11260
20210122,8,11290
20210122,8,11305
20210122,8,11320
20210122,8,11350
20210122,8,11380
20210122,8,11410
20210122,8,11440
20210122,8,11470
20210122,8,11500
20210122,8,11530
20210122,8,11545
20210122,8,11560
20210122,8,11590
20210122,8,11620
20210122,8,11650
20210122,8,11680
20210122,8,11710
20210122,8,11740
20210122,9,11110
20210122,9,11140
20210122,9,11170
20210122,9,11200
20210122,9,11215
20210122,9,11230
20210122,9,11260
20210122,9,11290
20210122,9,11305
20210122,9,11320
20210122,9,11350
20210122,9,11380
20210122,9,11410
20210122,9,11440
20210122,9,11470
20210122,9,11500
20210122,9,11530
20210122,9,11545
20210122,9,11560
20210122,9,11590
20210122,9,11620
20210122,9,11650
20210122,9,11680
20210122,9,11710
20210122,9,11740
20210122,10,11110
20210122,10,11140
20210122,10,11170
20210122,10,11200
20210122,10,11215
20210122,10,11230
20210122,10,11260
20210122,10,11290
20210122,10,11305
20210122,10,11320
20210122,10,11350
20210122,10,11380
20210122,10,11410
20210122,10,11440
20210122,10,11470
20210122,10,11500
20210122,10,11530
20210122,10,11545
20210122,10,11560
20210122,10,11590
20210122,10,11620
20210122,10,11650
20210122,10,11680
20210122,10,11710
20210122,10,11740
20210122,11,11110
20210122,11,11140
20210122,11,11170
20210122,11,11200
20210122,11,11215
20210122,11,11230
20210122,11,11260
20210122,11,11290
20210122,11,11305
20210122,11,11320
20210122,11,11350
20210122,11,11380
20210122,11,11410
20210122,11,11440
20210122,11,11470
20210122,11,11500
20210122,11,11530
20210122,11,11545
20210122,11,11560
20210122,11,11590
20210122,11,11620
20210122,11,11650
20210122,11,11680
20210122,11,11710
20210122,11,11740
20210122,12,11110
20210122,12,11140
20210122,12,11170
20210122,12,11200
20210122,12,11215
20210122,12,11230
20210122,12,11260
20210122,12,11290
20210122,12,11305
20210122,12,11320
20210122,12,11350
20210122,12,11380
20210122,12,11410
20210122,12,11440
20210122,12,11470
20210122,12,11500
20210122,12,11530
20210122,12,11545
20210122,12,11560
20210122,12,11590
20210122,12,11620
20210122,12,11650
20210122,12,11680
20210122,12,11710
20210122,12,11740
20210122,13,11110
20210122,13,11140
20210122,13,11170
20210122,13,11200
20210122,13,11215
20210122,13,11230
20210122,13,11260
20210122,13,11290
20210122,13,11305
20210122,13,11320
20210122,13,11350
20210122,13,11380
20210122,13,11410
20210122,13,11440
20210122,13,11470
20210122,13,11500
20210122,13,11530
20210122,13,11545
20210122,13,11560
20210122,13,11590
20210122,13,11620
20210122,13,11650
20210122,13,11680
20210122,13,11710
20210122,13,11740
20210122,14,11110
20210122,14,11140
20210122,14,11170
20210122,14,11200
20210122,14,11215
20210122,14,11230
20210122,14,11260
20210122,14,11290
20210122,14,11305
20210122,14,11320
20210122,14,11350
20210122,14,11380
20210122,14,11410
20210122,14,11440
20210122,14,11470
20210122,14,11500
20210122,14,11530
20210122,14,11545
20210122,14,11560
20210122,14,11590
20210122,14,11620
20210122,14,11650
20210122,14,11680
20210122,14,11710
20210122,14,11740
20210122,15,11110
20210122,15,11140
20210122,15,11170
20210122,15,11200
20210122,15,11215
20210122,15,11230
20210122,15,11260
20210122,15,11290
20210122,15,11305
20210122,15,11320
20210122,15,11350
20210122,15,11380
20210122,15,11410
20210122,15,11440
20210122,15,11470
20210122,15,11500
20210122,15,11530
20210122,15,11545
20210122,15,11560
20210122,15,11590
20210122,15,11620
20210122,15,11650
20210122,15,11680
20210122,15,11710
20210122,15,11740
20210122,16,11110
20210122,16,11140
20210122,16,11170
20210122,16,11200
20210122,16,11215
20210122,16,11230
20210122,16,11260
20210122,16,11290
20210122,16,11305
20210122,16,11320
20210122,16,11350
20210122,16,11380
20210122,16,11410
20210122,16,11440
20210122,16,11470
20210122,16,11500
20210122,16,11530
20210122,16,11545
20210122,16,11560
20210122,16,11590
20210122,16,11620
20210122,16,11650
20210122,16,11680
20210122,16,11710
20210122,16,11740
20210122,17,11110
20210122,17,11140
20210122,17,11170
20210122,17,11200
20210122,17,11215
20210122,17,11230
20210122,17,11260
20210122,17,11290
20210122,17,11305
20210122,17,11320
20210122,17,11350
20210122,17,11380
20210122,17,11410
20210122,17,11440
20210122,17,11470
20210122,17,11500
20210122,17,11530
20210122,17,11545
20210122,17,11560
20210122,17,11590
20210122,17,11620
20210122,17,11650
20210122,17,11680
20210122,17,11710
20210122,17,11740
20210122,18,11110
20210122,18,11140
20210122,18,11170
20210122,18,11200
20210122,18,11215
20210122,18,11230
20210122,18,11260
20210122,18,11290
20210122,18,11305
20210122,18,11320
20210122,18,11350
20210122,18,11380
20210122,18,11410
20210122,18,11440
20210122,18,11470
20210122,18,11500
20210122,18,11530
20210122,18,11545
20210122,18,11560
20210122,18,11590
20210122,18,11620
20210122,18,11650
20210122,18,11680
20210122,18,11710
20210122,18,11740
20210122,19,11110
20210122,19,11140
20210122,19,11170
20210122,19,11200
20210122,19,11215
20210122,19,11230
20210122,19,11260
20210122,19,11290
20210122,19,11305
20210122,19,11320
20210122,19,11350
20210122,19,11380
20210122,19,11410
20210122,19,11440
20210122,19,11470
20210122,19,11500
20210122,19,11530
20210122,19,11545
20210122,19,11560
20210122,19,11590
20210122,19,11620
20210122,19,11650
20210122,19,11680
20210122,19,11710
20210122,19,11740
20210122,20,11110
20210122,20,11140
20210122,20,11170
20210122,20,11200
20210122,20,11215
20210122,20,11230
20210122,20,11260
20210122,20,11290
20210122,20,11305
20210122,20,11320
20210122,20,11350
20210122,20,11380
20210122,20,11410
20210122,20,11440
20210122,20,11470
20210122,20,11500
20210122,20,11530
20210122,20,11545
20210122,20,11560
20210122,20,11590
20210122,20,11620
20210122,20,11650
20210122,20,11680
20210122,20,11710
20210122,20,11740
20210122,21,11110
20210122,21,11140
20210122,21,11170
20210122,21,11200
20210122,21,11215
20210122,21,11230
20210122,21,11260
20210122,21,11290
20210122,21,11305
20210122,21,11320
20210122,21,11350
20210122,21,11380
20210122,21,11410
20210122,21,11440
20210122,21,11470
20210122,21,11500
20210122,21,11530
20210122,21,11545
20210122,21,11560
20210122,21,11590
20210122,21,11620
20210122,21,11650
20210122,21,11680
20210122,21,11710
20210122,21,11740
20210122,22,11110
20210122,22,11140
20210122,22,11170
20210122,22,11200
20210122,22,11215
20210122,22,11230
20210122,22,11260
20210122,22,11290
20210122,22,11305
20210122,22,11320
20210122,22,11350
20210122,22,11380
20210122,22,11410
20210122,22,11440
20210122,22,11470
20210122,22,11500
20210122,22,11530
20210122,22,11545
20210122,22,11560
20210122,22,11590
20210122,22,11620
20210122,22,11650
20210122,22,11680
20210122,22,11710
20210122,22,11740
20210122,23,11110
20210122,23,11140
20210122,23,11170
20210122,23,11200
20210122,23,11215
20210122,23,11230
20210122,23,11260
20210122,23,11290
20210122,23,11305
20210122,23,11320
20210122,23,11350
20210122,23,11380
20210122,23,11410
20210122,23,11440
20210122,23,11470
20210122,23,11500
20210122,23,11530
20210122,23,11545
20210122,23,11560
20210122,23,11590
20210122,23,11620
20210122,23,11650
20210122,23,11680
20210122,23,11710
20210122,23,11740
20210123,0,11110
20210123,0,11140
20210123,0,11170
20210123,0,11200
20210123,0,11215
20210123,0,11230
20210123,0,11260
20210123,0,11290
20210123,0,11305
20210123,0,11320
20210123,0,11350
20210123,0,11380
20210123,0,11410
20210123,0,11440
20210123,0,11470
20210123,0,11500
20210123,0,11530
20210123,0,11545
20210123,0,11560
20210123,0,11590
20210123,0,11620
20210123,0,11650
20210123,0,11680
20210123,0,11710
20210123,0,11740
20210123,1,11110
20210123,1,11140
20210123,1,11170
20210123,1,11200
20210123,1,11215
20210123,1,11230
20210123,1,11260
20210123,1,11290
20210123,1,11305
20210123,1,11320
20210123,1,11350
20210123,1,11380
20210123,1,11410
20210123,1,11440
20210123,1,11470
20210123,1,11500
20210123,1,11530
20210123,1,11545
20210123,1,11560
20210123,1,11590
20210123,1,11620
20210123,1,11650
20210123,1,11680
20210123,1,11710
20210123,1,11740
20210123,2,11110
20210123,2,11140
20210123,2,11170
20210123,2,11200
20210123,2,11215
20210123,2,11230
20210123,2,11260
20210123,2,11290
20210123,2,11305
20210123,2,11320
20210123,2,11350
20210123,2,11380
20210123,2,11410
20210123,2,11440
20210123,2,11470
20210123,2,11500
20210123,2,11530
20210123,2,11545
20210123,2,11560
20210123,2,11590
20210123,2,11620
20210123,2,11650
20210123,2,11680
20210123,2,11710
20210123,2,11740
20210123,3,11110
20210123,3,11140
20210123,3,11170
20210123,3,11200
20210123,3,11215
20210123,3,11230
20210123,3,11260
20210123,3,11290
20210123,3,11305
20210123,3,11320
20210123,3,11350
20210123,3,11380
20210123,3,11410
20210123,3,11440
20210123,3,11470
20210123,3,11500
20210123,3,11530
20210123,3,11545
20210123,3,11560
20210123,3,11590
20210123,3,11620
20210123,3,11650
20210123,3,11680
20210123,3,11710
20210123,3,11740
20210123,4,11110
20210123,4,11140
20210123,4,11170
20210123,4,11200
20210123,4,11215
20210123,4,11230
20210123,4,11260
20210123,4,11290
20210123,4,11305
20210123,4,11320
20210123,4,11350
20210123,4,11380
20210123,4,11410
20210123,4,11440
20210123,4,11470
20210123,4,11500
20210123,4,11530
20210123,4,11545
20210123,4,11560
20210123,4,11590
20210123,4,11620
20210123,4,11650
20210123,4,11680
20210123,4,11710
20210123,4,11740
20210123,5,11110
20210123,5,11140
20210123,5,11170
20210123,5,11200
20210123,5,11215
20210123,5,11230
20210123,5,11260
20210123,5,11290
20210123,5,11305
20210123,5,11320
20210123,5,11350
20210123,5,11380
20210123,5,11410
20210123,5,11440
20210123,5,11470
20210123,5,11500
20210123,5,11530
20210123,5,11545
20210123,5,11560
20210123,5,11590
20210123,5,11620
20210123,5,11650
20210123,5,11680
